id,platforms
10449,"PlayStation 4, Xbox One, Nintendo Switch, PC"
15274,"PlayStation 4, Nintendo Switch, PC, Xbox One, Linux, macOS"
3346,"Xbox One, PlayStation 4, PC"
10090,"Nintendo Switch, iOS, Xbox One, PC, macOS, Linux, PlayStation 4, Android"
10092,"Xbox One, PC"
50781,"PC, PlayStation 5, Xbox Series S/X, Xbox One"
829,"PlayStation 4, Xbox One, PC"
3912,"macOS, Linux, PlayStation 3, Xbox 360, PC"
452638,"macOS, Xbox One, Nintendo Switch, PC, Xbox Series S/X, PlayStation 5, PlayStation 4"
14690,"Nintendo Switch, PlayStation 4, macOS, PC, Linux"
5161,"PlayStation 3, Xbox One, iOS, PC, macOS, Linux, Xbox 360"
15858,"Xbox, Xbox 360, Linux, macOS, PC, Nintendo Switch, Android"
678,"PlayStation 4, Xbox One, PC"
3729,"PC, PlayStation 3, Nintendo 3DS, Xbox 360, Xbox One, Wii U, PlayStation 4, PS Vita, macOS"
3554,"PlayStation 3, PlayStation 4, Xbox 360, PC, Xbox One"
19452,"PC, PlayStation 3, Xbox 360"
19375,"PlayStation 3, PC, PlayStation 4, Xbox 360, Xbox One"
4729,"PlayStation 3, Xbox 360, Xbox One, PC"
19451,"Xbox 360, PlayStation 3, PC"
51610,"Nintendo Switch, PC, PlayStation 4, Xbox One"
2047,"Android, PlayStation 4, PC, iOS, Xbox One"
47137,"PlayStation 4, Xbox One, iOS, PC, Android, Xbox Series S/X, PlayStation 5, Nintendo Switch"
53341,"iOS, Xbox 360, Android, Game Boy Advance, Dreamcast, PlayStation 3, PS Vita, PC"
3697,"PlayStation 3, Xbox 360, Linux, macOS, PC"
58813,"Nintendo Switch, PlayStation 5, PlayStation 4, PC, macOS, Xbox One"
28121,"Xbox One, iOS, PC, macOS, Linux, Nintendo Switch, PlayStation 4, Android"
2574,"PlayStation 4, Nintendo Switch, Linux, macOS, PC, Xbox One"
2166,"Xbox 360, PlayStation 3, Xbox One, PlayStation 4, Android, PC, macOS, iOS"
9551,"PC, PlayStation 4, PlayStation 5"
10064,"macOS, PC, PlayStation 3, Xbox 360, Xbox One, PlayStation 4"
5578,"Xbox 360, Nintendo DS, PC, PlayStation 3, Xbox One"
4032,"Xbox One, PC, Nintendo Switch, Xbox 360, PlayStation 3, PlayStation 4"
2300,"Xbox One, Nintendo Switch, macOS, PlayStation 4, PC"
259801,"PC, PlayStation 5, PlayStation 4"
3350,"Android, PS Vita, Nintendo Switch, Linux, macOS, PC, iOS, PlayStation 4, Xbox One"
5687,PlayStation 4
19600,"Xbox 360, PC, PlayStation 3, Xbox One"
4000,"PlayStation 3, Xbox 360, PC"
3290,"PlayStation 4, PC"
442854,"PC, Xbox One, PlayStation 4"
7381,"PlayStation 4, Nintendo Switch, Xbox One, PC"
12019,"Xbox 360, Xbox One, macOS, PC, Linux"
